"DOI","Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Citations - CrossRef","Citations - PubMed Central","Citations - Scopus"
"10.1371/journal.pcbi.1000378",05/08/09,2009,"PLoS Computational Biology","RA","Differential Affinity and Catalytic Activity of CheZ in E. coli Chemotaxis",0,0,0
"10.1371/journal.pcbi.1000379",05/08/09,2009,"PLoS Computational Biology","RA","Smoothing of, and Parameter Estimation from, Noisy Biophysical Recordings",0,0,0
"10.1371/journal.pcbi.1000380",05/08/09,2009,"PLoS Computational Biology","RA","Pairwise Maximum Entropy Models for Studying Large Biological Systems: When They Can Work and When They Can't",1,0,0
"10.1371/journal.pcbi.1000381",05/01/09,2009,"PLoS Computational Biology","RA","Functional Brain Networks Develop from a ?Local to Distributed? Organization",0,0,0
"10.1371/journal.pcbi.1000382",05/01/09,2009,"PLoS Computational Biology","RA","A Differential Wiring Analysis of Expression Data Correctly Identifies the Gene Containing the Causal Mutation",0,0,0
"10.1371/journal.pcbi.1000383",05/08/09,2009,"PLoS Computational Biology","RA","A Structure-Based Approach for Detection of Thiol Oxidoreductases and Their Catalytic Redox-Active Cysteine Residues",0,0,0
"10.1371/journal.pcbi.1000384",05/08/09,2009,"PLoS Computational Biology","RA","Minimum Criteria for DNA Damage-Induced Phase Advances in Circadian Rhythms",0,0,0
"10.1371/journal.pcbi.1000385",05/29/09,2009,"PLoS Computational Biology","non RA","Hypergraphs and Cellular Networks",0,0,0
"10.1371/journal.pcbi.1000386",05/22/09,2009,"PLoS Computational Biology","RA","SHRiMP: Accurate Mapping of Short Color-space Reads",0,1,1
"10.1371/journal.pcbi.1000387",05/15/09,2009,"PLoS Computational Biology","RA","Drug Discovery Using Chemical Systems Biology: Identification of the Protein-Ligand Binding Network To Explain the Side Effects of CETP Inhibitors",0,1,0
"10.1371/journal.pcbi.1000388",06/26/09,2009,"PLoS Computational Biology","non RA","Ten Simple Rules for Choosing between Industry and Academia",0,0,0
"10.1371/journal.pcbi.1000389",05/15/09,2009,"PLoS Computational Biology","RA","Molecular Mechanics of the ?-Actinin Rod Domain: Bending, Torsional, and Extensional Behavior",0,0,0
"10.1371/journal.pcbi.1000390",05/22/09,2009,"PLoS Computational Biology","RA","Computational Models of the Notch Network Elucidate Mechanisms of Context-dependent Signaling",0,0,0
"10.1371/journal.pcbi.1000391",05/22/09,2009,"PLoS Computational Biology","RA","How to Get the Most out of Your Curation Effort",0,0,0
"10.1371/journal.pcbi.1000392",05/29/09,2009,"PLoS Computational Biology","RA","Fast Statistical Alignment",0,0,0
"10.1371/journal.pcbi.1000393",05/29/09,2009,"PLoS Computational Biology","RA","A Correspondence Between Solution-State Dynamics of an Individual Protein and the Sequence and Conformational Diversity of its Family",0,0,0
"10.1371/journal.pcbi.1000394",05/29/09,2009,"PLoS Computational Biology","RA","Structural Adaptation and Heterogeneity of Normal and Tumor Microvascular Networks",0,0,0
"10.1371/journal.pcbi.1000395",05/29/09,2009,"PLoS Computational Biology","RA","Brain Anatomical Network and Intelligence",0,0,0
"10.1371/journal.pcbi.1000396",06/12/09,2009,"PLoS Computational Biology","RA","The Dynamics of T-Cell Receptor Repertoire Diversity Following Thymus Transplantation for DiGeorge Anomaly",0,0,0
"10.1371/journal.pcbi.1000397",06/05/09,2009,"PLoS Computational Biology","RA","Integrating Statistical Predictions and Experimental Verifications for Enhancing Protein-Chemical Interaction Predictions in Virtual Screening",0,0,0
"10.1371/journal.pcbi.1000398",05/29/09,2009,"PLoS Computational Biology","non RA","BioLINK Special Interest Group Session on the Future of Scientific Publishing",0,0,0
"10.1371/journal.pcbi.1000399",06/05/09,2009,"PLoS Computational Biology","RA","The Effect of Ongoing Exposure Dynamics in Dose Response Relationships",0,0,0
"10.1371/journal.pcbi.1000400",06/05/09,2009,"PLoS Computational Biology","RA","The Voice of Bats: How Greater Mouse-eared Bats Recognize Individuals Based on Their Echolocation Calls",0,0,0
"10.1371/journal.pcbi.1000401",06/05/09,2009,"PLoS Computational Biology","RA","SpaK/SpaR Two-component System Characterized by a Structure-driven Domain-fusion Method and in Vitro Phosphorylation Studies",0,0,0
"10.1371/journal.pcbi.1000402",06/12/09,2009,"PLoS Computational Biology","RA","Active Dendrites Enhance Neuronal Dynamic Range",0,0,0
"10.1371/journal.pcbi.1000403",06/05/09,2009,"PLoS Computational Biology","RA","Functional States of the Genome-Scale Escherichia Coli Transcriptional Regulatory System",0,0,0
"10.1371/journal.pcbi.1000404",06/05/09,2009,"PLoS Computational Biology","RA","Recurrent Network Models for Perfect Temporal Integration of Fluctuating Correlated Inputs",0,0,0
"10.1371/journal.pcbi.1000405",06/05/09,2009,"PLoS Computational Biology","RA","FINDSITELHM: A Threading-Based Approach to Ligand Homology Modeling",0,0,0
"10.1371/journal.pcbi.1000406",06/19/09,2009,"PLoS Computational Biology","RA","A Probabilistic Model of RNA Conformational Space",0,0,0
"10.1371/journal.pcbi.1000407",06/12/09,2009,"PLoS Computational Biology","RA","Directed Mammalian Gene Regulatory Networks Using Expression and Comparative Genomic Hybridization Microarray Data from Radiation Hybrids",0,0,0
"10.1371/journal.pcbi.1000408",06/12/09,2009,"PLoS Computational Biology","RA","Modeling the Impact of Lesions in the Human Brain",0,0,0
"10.1371/journal.pcbi.1000409",06/12/09,2009,"PLoS Computational Biology","RA","Spatio-Temporal Dynamics of Yeast Mitochondrial Biogenesis: Transcriptional and Post-Transcriptional mRNA Oscillatory Modules",0,0,0
"10.1371/journal.pcbi.1000410",06/12/09,2009,"PLoS Computational Biology","RA","Understanding the Adaptive Growth Strategy of Lactobacillus plantarum by In Silico Optimisation",0,0,0
"10.1371/journal.pcbi.1000411",07/31/09,2009,"PLoS Computational Biology","non RA","Getting Started in Text Mining: Part Two",0,0,0
"10.1371/journal.pcbi.1000412",06/12/09,2009,"PLoS Computational Biology","RA","Modeling and Inferring Cleavage Patterns in Proliferating Epithelia",0,0,0
"10.1371/journal.pcbi.1000413",06/12/09,2009,"PLoS Computational Biology","RA","Integrated Assessment of Genomic Correlates of Protein Evolutionary Rate",0,0,0
"10.1371/journal.pcbi.1000414",06/19/09,2009,"PLoS Computational Biology","RA","Identification of Yeast Transcriptional Regulation Networks Using Multivariate Random Forests",0,0,0
"10.1371/journal.pcbi.1000415",06/26/09,2009,"PLoS Computational Biology","RA","Exploring the Free Energy Landscape: From Dynamics to Networks and Back",0,0,0
"10.1371/journal.pcbi.1000416",06/26/09,2009,"PLoS Computational Biology","RA","Quantitative Analysis of Mechanisms That Govern Red Blood Cell Age Structure and Dynamics during Anaemia",0,0,0
"10.1371/journal.pcbi.1000417",06/19/09,2009,"PLoS Computational Biology","RA","Global Prediction of Tissue-Specific Gene Expression and Context-Dependent Gene Networks in Caenorhabditis elegans",0,0,0
"10.1371/journal.pcbi.1000418",06/19/09,2009,"PLoS Computational Biology","RA","Taking the Lag out of Jet Lag through Model-Based Schedule Design",0,0,0
"10.1371/journal.pcbi.1000419",06/26/09,2009,"PLoS Computational Biology","RA","Optimal Control Predicts Human Performance on Objects with Internal Degrees of Freedom",0,0,0
"10.1371/journal.pcbi.1000420",07/03/09,2009,"PLoS Computational Biology","RA","Investigating the Conformational Stability of Prion Strains through a Kinetic Replication Model",0,0,0
"10.1371/journal.pcbi.1000421",06/26/09,2009,"PLoS Computational Biology","RA","Maximum-Likelihood Model Averaging To Profile Clustering of Site Types across Discrete Linear Sequences",0,0,0
"10.1371/journal.pcbi.1000422",07/10/09,2009,"PLoS Computational Biology","RA","Predicting the Distribution of Spiral Waves from Cell Properties in a Developmental-Path Model of Dictyostelium Pattern Formation",0,0,0
"10.1371/journal.pcbi.1000423",07/03/09,2009,"PLoS Computational Biology","RA","Drug Discovery Using Chemical Systems Biology: Repositioning the Safe Medicine Comtan to Treat Multi-Drug and Extensively Drug Resistant Tuberculosis",0,0,0
"10.1371/journal.pcbi.1000424",07/31/09,2009,"PLoS Computational Biology","non RA","A Quick Guide to Organizing Computational Biology Projects",0,0,0
"10.1371/journal.pcbi.1000425",07/10/09,2009,"PLoS Computational Biology","RA","Dynamic Modeling of Vaccinating Behavior as a Function of Individual Beliefs",0,0,0
"10.1371/journal.pcbi.1000426",07/10/09,2009,"PLoS Computational Biology","RA","Movement Timing and Invariance Arise from Several Geometries",0,0,0
"10.1371/journal.pcbi.1000427",07/03/09,2009,"PLoS Computational Biology","RA","A Compact Representation of Drawing Movements with Sequences of Parabolic Primitives",0,0,0
"10.1371/journal.pcbi.1000428",07/10/09,2009,"PLoS Computational Biology","RA","Analysis of the Free-Energy Surface of Proteins from Reversible Folding Simulations",0,0,0
"10.1371/journal.pcbi.1000429",07/03/09,2009,"PLoS Computational Biology","RA","What a Plant Sounds Like: The Statistics of Vegetation Echoes as Received by Echolocating Bats",0,0,0
"10.1371/journal.pcbi.1000430",07/10/09,2009,"PLoS Computational Biology","RA","Bistable Perception Modeled as Competing Stochastic Integrations at Two Levels",0,0,0
"10.1371/journal.pcbi.1000431",07/03/09,2009,"PLoS Computational Biology","RA","The Gene Ontology's Reference Genome Project: A Unified Framework for Functional Annotation across Species",0,0,0
"10.1371/journal.pcbi.1000432",07/10/09,2009,"PLoS Computational Biology","RA","Integrating Sequencing Technologies in Personal Genomics: Optimal Low Cost Reconstruction of Structural Variants",0,0,0
"10.1371/journal.pcbi.1000433",07/10/09,2009,"PLoS Computational Biology","RA","Relating Neuronal Firing Patterns to Functional Differentiation of Cerebral Cortex",0,0,0
"10.1371/journal.pcbi.1000434",07/10/09,2009,"PLoS Computational Biology","RA","An Experimental and Computational Study of the Effect of ActA Polarity on the Speed of Listeria monocytogenes Actin-based Motility",0,0,0
"10.1371/journal.pcbi.1000435",07/10/09,2009,"PLoS Computational Biology","RA","Computational Fragment-Based Binding Site Identification by Ligand Competitive Saturation",0,0,0
"10.1371/journal.pcbi.1000436",07/17/09,2009,"PLoS Computational Biology","RA","The Natural Statistics of Audiovisual Speech",0,0,0
"10.1371/journal.pcbi.1000437",07/17/09,2009,"PLoS Computational Biology","RA","A Neural Computational Model of Incentive Salience",0,0,0
"10.1371/journal.pcbi.1000439",07/17/09,2009,"PLoS Computational Biology","RA","Computational Analysis of Viscoelastic Properties of Crosslinked Actin Networks",0,0,0
"10.1371/journal.pcbi.1000440",07/17/09,2009,"PLoS Computational Biology","RA","PoreWalker: A Novel Tool for the Identification and Characterization of Channels in Transmembrane Proteins from Their Three-Dimensional Structure",0,0,0
"10.1371/journal.pcbi.1000441",07/24/09,2009,"PLoS Computational Biology","RA","Harvesting Candidate Genes Responsible for Serious Adverse Drug Reactions from a Chemical-Protein Interactome",0,0,0
"10.1371/journal.pcbi.1000442",07/24/09,2009,"PLoS Computational Biology","RA","Identification of a Topological Characteristic Responsible for the Biological Robustness of Regulatory Networks",0,0,0
"10.1371/journal.pcbi.1000443",07/31/09,2009,"PLoS Computational Biology","non RA","Semantic Similarity in Biomedical Ontologies",0,0,0
"10.1371/journal.pcbi.1000444",07/24/09,2009,"PLoS Computational Biology","RA","Power Efficiency of Outer Hair Cell Somatic Electromotility",0,0,0
"10.1371/journal.pcbi.1000445",07/24/09,2009,"PLoS Computational Biology","RA","Topography of Extracellular Matrix Mediates Vascular Morphogenesis and Migration Speeds in Angiogenesis",0,0,0
"10.1371/journal.pcbi.1000446",07/24/09,2009,"PLoS Computational Biology","RA","Identification of a Kinase Profile that Predicts Chromosome Damage Induced by Small Molecule Kinase Inhibitors",0,0,0
"10.1371/journal.pcbi.1000447",07/24/09,2009,"PLoS Computational Biology","RA","Stem Cell Proliferation and Quiescence?Two Sides of the Same Coin",0,0,0
"10.1371/journal.pcbi.1000448",07/24/09,2009,"PLoS Computational Biology","RA","Cooperativity Dominates the Genomic Organization of p53-Response Elements: A Mechanistic View",0,0,0
"10.1371/journal.pcbi.1000449",07/31/09,2009,"PLoS Computational Biology","RA","Small RNAs Originated from Pseudogenes: cis- or trans-Acting?",0,0,0
"10.1371/journal.pcbi.1000450",07/31/09,2009,"PLoS Computational Biology","RA","Building Disease-Specific Drug-Protein Connectivity Maps from Molecular Interaction Networks and PubMed Abstracts",0,0,0
"10.1371/journal.pcbi.1000451",07/31/09,2009,"PLoS Computational Biology","RA","A Three Species Model to Simulate Application of Hyperbaric Oxygen Therapy to Chronic Wounds",0,0,0
"10.1371/journal.pctr.0010001",04/21/06,2006,"PLoS Clinical Trials","non RA","Principles for Strengthening the Integrity of Clinical Research",4,0,0
"10.1371/journal.pctr.0010002",04/21/06,2006,"PLoS Clinical Trials","RA","Randomised Controlled Trial of Unsolicited Occupational Therapy in Community-Dwelling Elderly People: The LOTIS Trial",0,0,0
"10.1371/journal.pctr.0010003",05/19/06,2006,"PLoS Clinical Trials","RA","A Randomised Trial of Subcutaneous Intermittent Interleukin-2 without Antiretroviral Therapy in HIV-Infected Patients: The UK?Vanguard Study",4,0,0
"10.1371/journal.pctr.0010004",05/19/06,2006,"PLoS Clinical Trials","RA","Acute Effect of Folic Acid, Betaine, and Serine Supplements on Flow-Mediated Dilation after Methionine Loading: A Randomized Trial",0,0,0
"10.1371/journal.pctr.0010005",05/19/06,2006,"PLoS Clinical Trials","RA","RTS,S/AS02A Malaria Vaccine Does Not Induce Parasite CSP T Cell Epitope Selection and Reduces Multiplicity of Infection",4,4,0
"10.1371/journal.pctr.0010006",05/19/06,2006,"PLoS Clinical Trials","non RA","Patient Safety Requires a New Way to Publish Clinical Trials",4,2,0
"10.1371/journal.pctr.0010007",05/19/06,2006,"PLoS Clinical Trials","RA","Artemisinin Combination Therapies for Treatment of Uncomplicated Malaria in Uganda",3,11,0
"10.1371/journal.pctr.0010008",05/19/06,2006,"PLoS Clinical Trials","non RA","Introducing PLoS Clinical Trials",0,0,0
"10.1371/journal.pctr.0010009",05/19/06,2006,"PLoS Clinical Trials","non RA","Factors That Can Affect the External Validity of Randomised Controlled Trials",3,4,0
"10.1371/journal.pctr.0010010",06/09/06,2006,"PLoS Clinical Trials","RA","Effect of Folic Acid and Betaine Supplementation on Flow-Mediated Dilation: A Randomized, Controlled Study in Healthy Volunteers",0,1,0
"10.1371/journal.pctr.0010011",06/30/06,2006,"PLoS Clinical Trials","RA","Secondary Outcomes of a Pilot Randomized Trial of Azithromycin Treatment for Asthma",1,0,0
"10.1371/journal.pctr.0010012",06/30/06,2006,"PLoS Clinical Trials","RA","Genetic Polymorphisms and Weight Loss in Obesity: A Randomised Trial of Hypo-Energetic High- versus Low-Fat Diets",5,3,0
"10.1371/journal.pctr.0010013",06/30/06,2006,"PLoS Clinical Trials","non RA","The Clinical Trials Directive: How Is It Affecting Europe's Noncommercial Research",0,0,0
"10.1371/journal.pctr.0010014",07/21/06,2006,"PLoS Clinical Trials","RA","Randomised Trial of Chloroquine/Sulphadoxine-Pyrimethamine in Gambian Children with Malaria: Impact against Multidrug-Resistant P. falciparum",0,3,0
"10.1371/journal.pctr.0010015",07/21/06,2006,"PLoS Clinical Trials","RA","Chloroquine/Sulphadoxine-Pyrimethamine for Gambian Children with Malaria: Transmission to Mosquitoes of Multidrug-Resistant Plasmodium falciparum",1,6,0
"10.1371/journal.pctr.0010016",07/14/06,2006,"PLoS Clinical Trials","non RA","Operational Challenges in Large Clinical Trials: Examples and Lessons Learned from the Gambia Pneumococcal Vaccine Trial",1,0,0
"10.1371/journal.pctr.0010017",07/28/06,2006,"PLoS Clinical Trials","RA","The Influence of Injection Rate on the Hypnotic Effect of Propofol during Anesthesia: A Randomized Trial",0,0,0
"10.1371/journal.pctr.0010018",07/28/06,2006,"PLoS Clinical Trials","RA","A Randomised Trial Comparing Genotypic and Virtual Phenotypic Interpretation of HIV Drug Resistance: The CREST Study",2,1,0
"10.1371/journal.pctr.0010019",08/18/06,2006,"PLoS Clinical Trials","RA","Long-Term Impact of Malaria Chemoprophylaxis on Cognitive Abilities and Educational Attainment: Follow-Up of a Controlled Trial",0,1,0
"10.1371/journal.pctr.0010020",08/18/06,2006,"PLoS Clinical Trials","RA","Gametocytaemia after Drug Treatment of Asymptomatic Plasmodium falciparum",1,7,0
